18S_rRNA	18S_rRNA.1	DOID:9643	Babesiosis	7.225	3.612	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9643
AC145110.1	AC145110.1	DOID:1612	Breast cancer	1.606	0.803	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC145110.1&type2=-26&id2=DOID:1612
AC159540.2	AC159540.2	DOID:1612	Breast cancer	1.025	0.512	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC159540.2&type2=-26&id2=DOID:1612
ACTA2-AS1	ACTA2-AS1	DOID:1612	Breast cancer	2.470	1.235	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ACTA2-AS1&type2=-26&id2=DOID:1612
ACVR2B-AS1	ACVR2B-AS1	DOID:1612	Breast cancer	1.403	0.701	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ACVR2B-AS1&type2=-26&id2=DOID:1612
ADAMTS9-AS1	ADAMTS9-AS1	DOID:1612	Breast cancer	3.231	1.615	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ADAMTS9-AS1&type2=-26&id2=DOID:1612
ADAMTS9-AS2	ADAMTS9-AS2	DOID:1612	Breast cancer	3.506	1.753	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ADAMTS9-AS2&type2=-26&id2=DOID:1612
ADARB2-AS1	ADARB2-AS1	DOID:1612	Breast cancer	1.719	0.859	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ADARB2-AS1&type2=-26&id2=DOID:1612
ADORA2A-AS1	ADORA2A-AS1	DOID:1612	Breast cancer	1.299	0.649	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ADORA2A-AS1&type2=-26&id2=DOID:1612
ADPGK-AS1	ADPGK-AS1	DOID:1612	Breast cancer	2.711	1.355	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ADPGK-AS1&type2=-26&id2=DOID:1612
AF178030.2	AF178030.2	DOID:1612	Breast cancer	1.320	0.660	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AF178030.2&type2=-26&id2=DOID:1612
AFAP1-AS1	AFAP1-AS1	DOID:1612	Breast cancer	4.323	2.161	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AFAP1-AS1&type2=-26&id2=DOID:1612
AGAP2-AS1	AGAP2-AS1	DOID:1612	Breast cancer	3.863	1.931	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AGAP2-AS1&type2=-26&id2=DOID:1612
AIRN	AIRN	DOID:1612	Breast cancer	2.564	1.282	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AIRN&type2=-26&id2=DOID:1612
ALDH1L1-AS2	ALDH1L1-AS2	DOID:1612	Breast cancer	1.052	0.526	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ALDH1L1-AS2&type2=-26&id2=DOID:1612
ALMS1-IT1	ALMS1-IT1	DOID:1612	Breast cancer	1.892	0.946	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ALMS1-IT1&type2=-26&id2=DOID:1612
ALOX12-AS1	ALOX12-AS1	DOID:1612	Breast cancer	1.200	0.600	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ALOX12-AS1&type2=-26&id2=DOID:1612
ANKRD10-IT1	ANKRD10-IT1	DOID:1612	Breast cancer	1.789	0.895	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ANKRD10-IT1&type2=-26&id2=DOID:1612
AP000345.1	AP000345.1	DOID:1612	Breast cancer	1.109	0.554	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AP000345.1&type2=-26&id2=DOID:1612
AP000439.2	AP000439.2	DOID:1612	Breast cancer	1.660	0.830	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AP000439.2&type2=-26&id2=DOID:1612
AP000439.3	AP000439.3	DOID:1612	Breast cancer	1.843	0.921	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AP000439.3&type2=-26&id2=DOID:1612
AP001056.1	AP001056.1	DOID:1612	Breast cancer	1.237	0.619	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AP001056.1&type2=-26&id2=DOID:1612
APCDD1L-AS1	APCDD1L-AS1	DOID:1612	Breast cancer	1.565	0.783	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=APCDD1L-AS1&type2=-26&id2=DOID:1612
APTR	APTR	DOID:1612	Breast cancer	1.768	0.884	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=APTR&type2=-26&id2=DOID:1612
AQP4-AS1	AQP4-AS1	DOID:1612	Breast cancer	1.829	0.914	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AQP4-AS1&type2=-26&id2=DOID:1612
ARAP1-AS1	ARAP1-AS1	DOID:1612	Breast cancer	1.988	0.994	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ARAP1-AS1&type2=-26&id2=DOID:1612
ARHGAP5-AS1	ARHGAP5-AS1	DOID:1612	Breast cancer	2.533	1.266	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ARHGAP5-AS1&type2=-26&id2=DOID:1612
ARHGEF38-IT1	ARHGEF38-IT1	DOID:1612	Breast cancer	1.215	0.607	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ARHGEF38-IT1&type2=-26&id2=DOID:1612
ARRDC1-AS1	ARRDC1-AS1	DOID:1612	Breast cancer	2.299	1.150	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ARRDC1-AS1&type2=-26&id2=DOID:1612
ARRDC3-AS1	ARRDC3-AS1	DOID:1612	Breast cancer	1.208	0.604	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ARRDC3-AS1&type2=-26&id2=DOID:1612
ASAP1-IT1	ASAP1-IT1	DOID:1612	Breast cancer	1.588	0.794	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ASAP1-IT1&type2=-26&id2=DOID:1612
ASB16-AS1	ASB16-AS1	DOID:1612	Breast cancer	1.933	0.966	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ASB16-AS1&type2=-26&id2=DOID:1612
ASMTL-AS1	ASMTL-AS1	DOID:1612	Breast cancer	1.933	0.966	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ASMTL-AS1&type2=-26&id2=DOID:1612
ATE1-AS1	ATE1-AS1	DOID:1612	Breast cancer	1.093	0.546	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ATE1-AS1&type2=-26&id2=DOID:1612
ATP13A4-AS1	ATP13A4-AS1	DOID:1612	Breast cancer	1.095	0.547	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ATP13A4-AS1&type2=-26&id2=DOID:1612
ATP13A5-AS1	ATP13A5-AS1	DOID:1612	Breast cancer	1.109	0.554	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ATP13A5-AS1&type2=-26&id2=DOID:1612
ATP1A1-AS1	ATP1A1-AS1	DOID:1612	Breast cancer	1.059	0.530	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ATP1A1-AS1&type2=-26&id2=DOID:1612
ATP1B3-AS1	ATP1B3-AS1	DOID:1612	Breast cancer	1.010	0.505	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ATP1B3-AS1&type2=-26&id2=DOID:1612
ATP2A1-AS1	ATP2A1-AS1	DOID:1612	Breast cancer	1.373	0.687	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ATP2A1-AS1&type2=-26&id2=DOID:1612
ATXN8OS	ATXN8OS	DOID:1612	Breast cancer	1.800	0.900	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ATXN8OS&type2=-26&id2=DOID:1612
B3GALT5-AS1	B3GALT5-AS1	DOID:1612	Breast cancer	2.043	1.022	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=B3GALT5-AS1&type2=-26&id2=DOID:1612
B4GALT1-AS1	B4GALT1-AS1	DOID:1612	Breast cancer	2.296	1.148	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=B4GALT1-AS1&type2=-26&id2=DOID:1612
BAALC-AS2	BAALC-AS2	DOID:1612	Breast cancer	1.372	0.686	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BAALC-AS2&type2=-26&id2=DOID:1612
BACE1-AS	BACE1-AS	DOID:1612	Breast cancer	2.823	1.411	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BACE1-AS&type2=-26&id2=DOID:1612
BAIAP2-AS1	BAIAP2-AS1	DOID:1612	Breast cancer	1.323	0.662	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BAIAP2-AS1&type2=-26&id2=DOID:1612
BANCR	BANCR	DOID:1612	Breast cancer	3.402	1.701	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BANCR&type2=-26&id2=DOID:1612
BBOX1-AS1	BBOX1-AS1	DOID:1612	Breast cancer	1.344	0.672	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BBOX1-AS1&type2=-26&id2=DOID:1612
BCAR4	BCAR4	DOID:1612	Breast cancer	4.589	2.294	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BCAR4&type2=-26&id2=DOID:1612
BCYRN1	BCYRN1	DOID:1612	Breast cancer	3.791	1.895	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BCYRN1&type2=-26&id2=DOID:1612
BDNF-AS	BDNF-AS	DOID:1612	Breast cancer	2.717	1.359	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BDNF-AS&type2=-26&id2=DOID:1612
BGLT3	BGLT3	DOID:1612	Breast cancer	2.127	1.064	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BGLT3&type2=-26&id2=DOID:1612
BHLHE40-AS1	BHLHE40-AS1	DOID:1612	Breast cancer	2.143	1.072	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BHLHE40-AS1&type2=-26&id2=DOID:1612
BIRC6-AS2	BIRC6-AS2	DOID:1612	Breast cancer	1.442	0.721	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BIRC6-AS2&type2=-26&id2=DOID:1612
