18S_rRNA	18S_rRNA.1	DOID:9643	Babesiosis	7.225	3.612	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9643
ENSP00000369293	IL2RA	DOID:1612	Breast cancer	4.306	2.153	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369293&type2=-26&id2=DOID:1612
ENSP00000369299	TRIM22	DOID:1612	Breast cancer	3.006	1.503	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369299&type2=-26&id2=DOID:1612
ENSP00000369314	GLRX	DOID:1612	Breast cancer	3.540	1.770	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369314&type2=-26&id2=DOID:1612
ENSP00000369317	KRT6A	DOID:1612	Breast cancer	3.722	1.861	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369317&type2=-26&id2=DOID:1612
ENSP00000369318	RHOBTB3	DOID:1612	Breast cancer	2.721	1.361	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369318&type2=-26&id2=DOID:1612
ENSP00000369325	CDKL5	DOID:1612	Breast cancer	1.639	0.820	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369325&type2=-26&id2=DOID:1612
ENSP00000369328	LINGO2	DOID:1612	Breast cancer	2.068	1.034	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369328&type2=-26&id2=DOID:1612
ENSP00000369335	FBH1	DOID:1612	Breast cancer	3.002	1.501	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369335&type2=-26&id2=DOID:1612
ENSP00000369349	KRT81	DOID:1612	Breast cancer	3.371	1.685	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369349&type2=-26&id2=DOID:1612
ENSP00000369373	TRIM5	DOID:1612	Breast cancer	2.600	1.300	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369373&type2=-26&id2=DOID:1612
ENSP00000369375	TEK	DOID:1612	Breast cancer	5.247	2.624	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369375&type2=-26&id2=DOID:1612
ENSP00000369390	CDK14	DOID:1612	Breast cancer	3.764	1.882	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369390&type2=-26&id2=DOID:1612
ENSP00000369391	RPP40	DOID:1612	Breast cancer	1.205	0.603	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369391&type2=-26&id2=DOID:1612
ENSP00000369395	LRRC19	DOID:1612	Breast cancer	1.450	0.725	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369395&type2=-26&id2=DOID:1612
ENSP00000369399	SLC4A11	DOID:1612	Breast cancer	1.793	0.897	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369399&type2=-26&id2=DOID:1612
ENSP00000369411	RFC3	DOID:1612	Breast cancer	3.408	1.704	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369411&type2=-26&id2=DOID:1612
ENSP00000369419	STEAP4	DOID:1612	Breast cancer	2.992	1.496	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369419&type2=-26&id2=DOID:1612
ENSP00000369424	RBBP7	DOID:1612	Breast cancer	3.969	1.984	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369424&type2=-26&id2=DOID:1612
ENSP00000369431	CAAP1	DOID:1612	Breast cancer	1.380	0.690	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369431&type2=-26&id2=DOID:1612
ENSP00000369436	ANKRD16	DOID:1612	Breast cancer	2.073	1.037	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369436&type2=-26&id2=DOID:1612
ENSP00000369440	TRIM6	DOID:1612	Breast cancer	2.330	1.165	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369440&type2=-26&id2=DOID:1612
ENSP00000369442	KL	DOID:1612	Breast cancer	3.305	1.653	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369442&type2=-26&id2=DOID:1612
ENSP00000369453	ELAVL2	DOID:1612	Breast cancer	2.733	1.367	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369453&type2=-26&id2=DOID:1612
ENSP00000369456	ITPA	DOID:1612	Breast cancer	1.874	0.937	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369456&type2=-26&id2=DOID:1612
ENSP00000369461	ECI2	DOID:1612	Breast cancer	2.108	1.054	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369461&type2=-26&id2=DOID:1612
ENSP00000369465	TXLNG	DOID:1612	Breast cancer	1.028	0.514	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369465&type2=-26&id2=DOID:1612
ENSP00000369473	N4BP2L1	DOID:1612	Breast cancer	1.531	0.766	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369473&type2=-26&id2=DOID:1612
ENSP00000369497	BRCA2	DOID:1612	Breast cancer	7.893	3.946	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369497&type2=-26&id2=DOID:1612
ENSP00000369500	SYAP1	DOID:1612	Breast cancer	1.272	0.636	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369500&type2=-26&id2=DOID:1612
ENSP00000369530	ALOX15B	DOID:1612	Breast cancer	3.221	1.610	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369530&type2=-26&id2=DOID:1612
ENSP00000369531	UBQLNL	DOID:1612	Breast cancer	1.259	0.629	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369531&type2=-26&id2=DOID:1612
ENSP00000369538	GDI2	DOID:1612	Breast cancer	2.890	1.445	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369538&type2=-26&id2=DOID:1612
ENSP00000369545	NABP2	DOID:1612	Breast cancer	2.051	1.025	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369545&type2=-26&id2=DOID:1612
ENSP00000369547	S100G	DOID:1612	Breast cancer	2.598	1.299	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369547&type2=-26&id2=DOID:1612
ENSP00000369553	IFNA8	DOID:1612	Breast cancer	4.236	2.118	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369553&type2=-26&id2=DOID:1612
ENSP00000369554	IFNA2	DOID:1612	Breast cancer	4.602	2.301	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369554&type2=-26&id2=DOID:1612
ENSP00000369558	IFNA6	DOID:1612	Breast cancer	4.230	2.115	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369558&type2=-26&id2=DOID:1612
ENSP00000369564	IFNA16	DOID:1612	Breast cancer	4.226	2.113	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369564&type2=-26&id2=DOID:1612
ENSP00000369566	IFNA10	DOID:1612	Breast cancer	4.226	2.113	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369566&type2=-26&id2=DOID:1612
ENSP00000369571	IFNA14	DOID:1612	Breast cancer	4.227	2.113	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369571&type2=-26&id2=DOID:1612
ENSP00000369573	OR51B4	DOID:1612	Breast cancer	1.860	0.930	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369573&type2=-26&id2=DOID:1612
ENSP00000369574	IFNA21	DOID:1612	Breast cancer	4.231	2.116	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369574&type2=-26&id2=DOID:1612
ENSP00000369578	IFNW1	DOID:1612	Breast cancer	1.377	0.688	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369578&type2=-26&id2=DOID:1612
ENSP00000369581	IFNB1	DOID:1612	Breast cancer	5.239	2.620	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369581&type2=-26&id2=DOID:1612
ENSP00000369592	CCDC85C	DOID:1612	Breast cancer	1.222	0.611	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369592&type2=-26&id2=DOID:1612
ENSP00000369599	FOCAD	DOID:1612	Breast cancer	2.402	1.201	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369599&type2=-26&id2=DOID:1612
ENSP00000369604	FBXO16	DOID:1612	Breast cancer	1.977	0.988	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369604&type2=-26&id2=DOID:1612
ENSP00000369611	SPZ1	DOID:1612	Breast cancer	2.142	1.071	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369611&type2=-26&id2=DOID:1612
ENSP00000369614	CNTROB	DOID:1612	Breast cancer	2.091	1.045	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369614&type2=-26&id2=DOID:1612
ENSP00000369643	GRPR	DOID:1612	Breast cancer	4.433	2.217	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369643&type2=-26&id2=DOID:1612
ENSP00000369647	AVP	DOID:1612	Breast cancer	3.798	1.899	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369647&type2=-26&id2=DOID:1612
ENSP00000369666	FBXL19	DOID:1612	Breast cancer	2.277	1.138	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369666&type2=-26&id2=DOID:1612
ENSP00000369674	BCL7C	DOID:1612	Breast cancer	1.623	0.811	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369674&type2=-26&id2=DOID:1612
ENSP00000369677	EMILIN1	DOID:1612	Breast cancer	1.154	0.577	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369677&type2=-26&id2=DOID:1612
ENSP00000369681	USP3	DOID:1612	Breast cancer	3.269	1.635	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369681&type2=-26&id2=DOID:1612
ENSP00000369689	CALML5	DOID:1612	Breast cancer	4.979	2.489	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369689&type2=-26&id2=DOID:1612
ENSP00000369695	MLLT3	DOID:1612	Breast cancer	4.136	2.068	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369695&type2=-26&id2=DOID:1612
ENSP00000369699	CLTRN	DOID:1612	Breast cancer	1.052	0.526	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369699&type2=-26&id2=DOID:1612
ENSP00000369702	LHFPL2	DOID:1612	Breast cancer	1.784	0.892	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369702&type2=-26&id2=DOID:1612
ENSP00000369703	TUBB2A	DOID:1612	Breast cancer	4.011	2.006	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369703&type2=-26&id2=DOID:1612
ENSP00000369716	CHD3	DOID:1612	Breast cancer	3.456	1.728	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369716&type2=-26&id2=DOID:1612
ENSP00000369725	OR52A1	DOID:1612	Breast cancer	1.095	0.547	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369725&type2=-26&id2=DOID:1612
ENSP00000369739	BPHL	DOID:1612	Breast cancer	1.543	0.771	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369739&type2=-26&id2=DOID:1612
ENSP00000369753	MMP26	DOID:1612	Breast cancer	3.252	1.626	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369753&type2=-26&id2=DOID:1612
ENSP00000369756	PTPRA	DOID:1612	Breast cancer	3.222	1.611	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369756&type2=-26&id2=DOID:1612
ENSP00000369757	RPS6	DOID:1612	Breast cancer	4.695	2.348	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369757&type2=-26&id2=DOID:1612
ENSP00000369774	ZNF763	DOID:1612	Breast cancer	4.055	2.028	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369774&type2=-26&id2=DOID:1612
ENSP00000369777	ZNF768	DOID:1612	Breast cancer	1.617	0.808	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369777&type2=-26&id2=DOID:1612
ENSP00000369784	TUBAL3	DOID:1612	Breast cancer	2.879	1.440	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369784&type2=-26&id2=DOID:1612
ENSP00000369786	PIR	DOID:1612	Breast cancer	4.096	2.048	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369786&type2=-26&id2=DOID:1612
ENSP00000369814	AKR1C4	DOID:1612	Breast cancer	3.076	1.538	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369814&type2=-26&id2=DOID:1612
ENSP00000369816	SHBG	DOID:1612	Breast cancer	5.492	2.746	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369816&type2=-26&id2=DOID:1612
ENSP00000369820	PIGA	DOID:1612	Breast cancer	1.553	0.777	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369820&type2=-26&id2=DOID:1612
ENSP00000369822	NQO2	DOID:1612	Breast cancer	3.348	1.674	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369822&type2=-26&id2=DOID:1612
ENSP00000369849	MEDAG	DOID:1612	Breast cancer	1.833	0.917	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369849&type2=-26&id2=DOID:1612
ENSP00000369853	C2CD2	DOID:1612	Breast cancer	1.223	0.611	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369853&type2=-26&id2=DOID:1612
ENSP00000369855	ASB9	DOID:1612	Breast cancer	1.933	0.967	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369855&type2=-26&id2=DOID:1612
ENSP00000369857	ABRAXAS1	DOID:1612	Breast cancer	4.373	2.186	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369857&type2=-26&id2=DOID:1612
ENSP00000369863	TLCD3B	DOID:1612	Breast cancer	2.807	1.404	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369863&type2=-26&id2=DOID:1612
ENSP00000369871	HAUS6	DOID:1612	Breast cancer	2.255	1.128	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369871&type2=-26&id2=DOID:1612
ENSP00000369887	SLTM	DOID:1612	Breast cancer	1.467	0.734	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369887&type2=-26&id2=DOID:1612
ENSP00000369889	COL2A1	DOID:1612	Breast cancer	3.500	1.750	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369889&type2=-26&id2=DOID:1612
ENSP00000369897	CARS1	DOID:1612	Breast cancer	2.468	1.234	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369897&type2=-26&id2=DOID:1612
ENSP00000369899	RRAGA	DOID:1612	Breast cancer	2.808	1.404	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369899&type2=-26&id2=DOID:1612
ENSP00000369915	NAP1L4	DOID:1612	Breast cancer	1.203	0.602	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369915&type2=-26&id2=DOID:1612
ENSP00000369921	ADAMTSL1	DOID:1612	Breast cancer	2.289	1.145	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369921&type2=-26&id2=DOID:1612
ENSP00000369927	AKR1C3	DOID:1612	Breast cancer	4.545	2.272	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369927&type2=-26&id2=DOID:1612
ENSP00000369948	SLC22A18	DOID:1612	Breast cancer	2.766	1.383	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369948&type2=-26&id2=DOID:1612
ENSP00000369960	ADRA1A	DOID:1612	Breast cancer	2.284	1.142	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369960&type2=-26&id2=DOID:1612
ENSP00000369962	IGSF5	DOID:1612	Breast cancer	1.634	0.817	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369962&type2=-26&id2=DOID:1612
ENSP00000369965	BTF3	DOID:1612	Breast cancer	1.952	0.976	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369965&type2=-26&id2=DOID:1612
ENSP00000369976	EGFL6	DOID:1612	Breast cancer	2.888	1.444	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369976&type2=-26&id2=DOID:1612
ENSP00000369979	CPXM1	DOID:1612	Breast cancer	2.483	1.241	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369979&type2=-26&id2=DOID:1612
ENSP00000369981	SH3GL2	DOID:1612	Breast cancer	2.852	1.426	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369981&type2=-26&id2=DOID:1612
ENSP00000369989	KATNAL1	DOID:1612	Breast cancer	1.218	0.609	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369989&type2=-26&id2=DOID:1612
ENSP00000369996	ATXN3L	DOID:1612	Breast cancer	2.728	1.364	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000369996&type2=-26&id2=DOID:1612
ENSP00000370003	BNIP3L	DOID:1612	Breast cancer	4.144	2.072	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370003&type2=-26&id2=DOID:1612
ENSP00000370010	TMSB4X	DOID:1612	Breast cancer	3.317	1.659	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370010&type2=-26&id2=DOID:1612
ENSP00000370021	CNTLN	DOID:1612	Breast cancer	3.456	1.728	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370021&type2=-26&id2=DOID:1612
ENSP00000370022	EBF4	DOID:1612	Breast cancer	2.041	1.021	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370022&type2=-26&id2=DOID:1612
ENSP00000370023	HADHA	DOID:1612	Breast cancer	2.865	1.432	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370023&type2=-26&id2=DOID:1612
ENSP00000370034	TLR7	DOID:1612	Breast cancer	4.960	2.480	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370034&type2=-26&id2=DOID:1612
ENSP00000370047	BNC2	DOID:1612	Breast cancer	2.619	1.310	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370047&type2=-26&id2=DOID:1612
ENSP00000370055	UBL3	DOID:1612	Breast cancer	2.384	1.192	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370055&type2=-26&id2=DOID:1612
ENSP00000370057	FRMPD4	DOID:1612	Breast cancer	1.404	0.702	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370057&type2=-26&id2=DOID:1612
ENSP00000370074	SERPINB9	DOID:1612	Breast cancer	3.522	1.761	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370074&type2=-26&id2=DOID:1612
ENSP00000370078	PDE4A	DOID:1612	Breast cancer	2.946	1.473	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370078&type2=-26&id2=DOID:1612
ENSP00000370083	SMN1	DOID:1612	Breast cancer	2.840	1.420	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370083&type2=-26&id2=DOID:1612
ENSP00000370114	PSIP1	DOID:1612	Breast cancer	3.249	1.624	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370114&type2=-26&id2=DOID:1612
ENSP00000370115	SERPINB1	DOID:1612	Breast cancer	2.975	1.488	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370115&type2=-26&id2=DOID:1612
ENSP00000370119	SMN2	DOID:1612	Breast cancer	2.603	1.302	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370119&type2=-26&id2=DOID:1612
ENSP00000370125	HMGN1	DOID:1612	Breast cancer	3.202	1.601	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370125&type2=-26&id2=DOID:1612
ENSP00000370126	SERF1B	DOID:1612	Breast cancer	1.362	0.681	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370126&type2=-26&id2=DOID:1612
ENSP00000370128	SLC7A1	DOID:1612	Breast cancer	4.011	2.005	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370128&type2=-26&id2=DOID:1612
ENSP00000370129	AKR1C2	DOID:1612	Breast cancer	3.810	1.905	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370129&type2=-26&id2=DOID:1612
ENSP00000370139	HCCS	DOID:1612	Breast cancer	1.504	0.752	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370139&type2=-26&id2=DOID:1612
ENSP00000370150	WRNIP1	DOID:1612	Breast cancer	2.496	1.248	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370150&type2=-26&id2=DOID:1612
ENSP00000370192	SLC46A3	DOID:1612	Breast cancer	2.821	1.411	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370192&type2=-26&id2=DOID:1612
ENSP00000370193	TAF9	DOID:1612	Breast cancer	2.651	1.325	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370193&type2=-26&id2=DOID:1612
ENSP00000370194	GMDS	DOID:1612	Breast cancer	2.297	1.149	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370194&type2=-26&id2=DOID:1612
ENSP00000370196	SBF1	DOID:1612	Breast cancer	1.927	0.963	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370196&type2=-26&id2=DOID:1612
ENSP00000370200	SNAPC3	DOID:1612	Breast cancer	1.232	0.616	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370200&type2=-26&id2=DOID:1612
ENSP00000370201	AK6	DOID:1612	Breast cancer	2.184	1.092	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370201&type2=-26&id2=DOID:1612
ENSP00000370208	RABGEF1	DOID:1612	Breast cancer	2.277	1.138	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370208&type2=-26&id2=DOID:1612
ENSP00000370213	CLCN4	DOID:1612	Breast cancer	1.383	0.692	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370213&type2=-26&id2=DOID:1612
ENSP00000370214	CENPO	DOID:1612	Breast cancer	2.333	1.167	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370214&type2=-26&id2=DOID:1612
ENSP00000370222	POMP	DOID:1612	Breast cancer	1.783	0.892	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370222&type2=-26&id2=DOID:1612
ENSP00000370224	PARM1	DOID:1612	Breast cancer	1.116	0.558	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370224&type2=-26&id2=DOID:1612
ENSP00000370242	WWC3	DOID:1612	Breast cancer	2.432	1.216	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370242&type2=-26&id2=DOID:1612
ENSP00000370253	NKX3-1	DOID:1612	Breast cancer	4.335	2.167	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370253&type2=-26&id2=DOID:1612
ENSP00000370254	AKR1C1	DOID:1612	Breast cancer	4.113	2.057	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370254&type2=-26&id2=DOID:1612
ENSP00000370258	EIF3CL	DOID:1612	Breast cancer	1.113	0.556	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370258&type2=-26&id2=DOID:1612
ENSP00000370270	ESRRB	DOID:1612	Breast cancer	4.745	2.372	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370270&type2=-26&id2=DOID:1612
ENSP00000370288	SELENOO	DOID:1612	Breast cancer	1.701	0.851	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370288&type2=-26&id2=DOID:1612
ENSP00000370297	CER1	DOID:1612	Breast cancer	1.942	0.971	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370297&type2=-26&id2=DOID:1612
ENSP00000370299	SHROOM2	DOID:1612	Breast cancer	1.662	0.831	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370299&type2=-26&id2=DOID:1612
ENSP00000370303	ZDHHC21	DOID:1612	Breast cancer	2.342	1.171	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370303&type2=-26&id2=DOID:1612
ENSP00000370337	CEP152	DOID:1612	Breast cancer	1.796	0.898	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370337&type2=-26&id2=DOID:1612
ENSP00000370340	NFIB	DOID:1612	Breast cancer	4.508	2.254	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370340&type2=-26&id2=DOID:1612
ENSP00000370343	IRF4	DOID:1612	Breast cancer	4.380	2.190	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370343&type2=-26&id2=DOID:1612
ENSP00000370373	FKBP1B	DOID:1612	Breast cancer	1.958	0.979	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370373&type2=-26&id2=DOID:1612
ENSP00000370376	DUT	DOID:1612	Breast cancer	3.144	1.572	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370376&type2=-26&id2=DOID:1612
ENSP00000370377	PITRM1	DOID:1612	Breast cancer	3.231	1.615	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370377&type2=-26&id2=DOID:1612
ENSP00000370394	RUFY3	DOID:1612	Breast cancer	1.198	0.599	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370394&type2=-26&id2=DOID:1612
ENSP00000370408	CDX2	DOID:1612	Breast cancer	5.023	2.512	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370408&type2=-26&id2=DOID:1612
ENSP00000370421	PDX1	DOID:1612	Breast cancer	3.018	1.509	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370421&type2=-26&id2=DOID:1612
ENSP00000370443	ADAMTS6	DOID:1612	Breast cancer	2.657	1.328	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370443&type2=-26&id2=DOID:1612
ENSP00000370473	IGFBP3	DOID:1612	Breast cancer	5.591	2.795	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000370473&type2=-26&id2=DOID:1612
