stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000239938,9606.ENSP00000368632,EGR1,GATA3,9606,0.425,0.0,0.0,0.0,0.083,0.091,0.0,0.366
9606.ENSP00000239938,9606.ENSP00000269571,EGR1,ERBB2,9606,0.427,0.0,0.0,0.0,0.0,0.045,0.0,0.425
9606.ENSP00000239938,9606.ENSP00000498653,EGR1,DEK,9606,0.447,0.0,0.0,0.0,0.0,0.065,0.0,0.433
9606.ENSP00000239938,9606.ENSP00000356832,EGR1,SGK1,9606,0.463,0.0,0.0,0.0,0.154,0.095,0.0,0.355
9606.ENSP00000239938,9606.ENSP00000365858,EGR1,GATA1,9606,0.468,0.0,0.0,0.0,0.0,0.091,0.0,0.439
9606.ENSP00000239938,9606.ENSP00000333277,EGR1,H3C13,9606,0.501,0.0,0.0,0.0,0.056,0.099,0.0,0.461
9606.ENSP00000239938,9606.ENSP00000478927,EGR1,YAP1,9606,0.544,0.0,0.0,0.0,0.0,0.083,0.0,0.523
9606.ENSP00000239938,9606.ENSP00000322898,EGR1,EBF1,9606,0.597,0.0,0.0,0.0,0.043,0.071,0.0,0.583
9606.ENSP00000239938,9606.ENSP00000398698,EGR1,TNF,9606,0.621,0.0,0.0,0.0,0.127,0.058,0.0,0.577
9606.ENSP00000239938,9606.ENSP00000302961,EGR1,HSPA4,9606,0.621,0.0,0.0,0.0,0.0,0.096,0.0,0.598
9606.ENSP00000239938,9606.ENSP00000316578,EGR1,SUZ12,9606,0.65,0.0,0.0,0.0,0.0,0.11,0.5,0.278
9606.ENSP00000239938,9606.ENSP00000258149,EGR1,MDM2,9606,0.684,0.0,0.0,0.0,0.0,0.515,0.0,0.377
9606.ENSP00000239938,9606.ENSP00000264110,EGR1,ATF2,9606,0.744,0.0,0.0,0.0,0.0,0.311,0.5,0.316
9606.ENSP00000239938,9606.ENSP00000320147,EGR1,EZH2,9606,0.798,0.0,0.0,0.0,0.067,0.331,0.5,0.43
